#cog	%_occurence	thereof_%_singlecopy	%_occurence_as_singlecopy
arCOG00014	99.4	21.6	21.4
arCOG00029	99.4	98.2	97.6
arCOG00033	100.0	57.1	57.1
arCOG00035	99.4	98.8	98.2
arCOG00063	99.4	99.4	98.8
arCOG00069	100.0	72.0	72.0
arCOG00078	99.4	98.8	98.2
arCOG00187	100.0	94.0	94.0
arCOG00357	100.0	64.3	64.3
arCOG00358	100.0	98.2	98.2
arCOG00401	99.4	80.8	80.4
arCOG00402	100.0	96.4	96.4
arCOG00403	99.4	98.8	98.2
arCOG00404	100.0	94.6	94.6
arCOG00405	100.0	91.7	91.7
arCOG00406	100.0	94.6	94.6
arCOG00410	100.0	100.0	100.0
arCOG00412	100.0	99.4	99.4
arCOG00415	99.4	80.2	79.8
arCOG00439	99.4	68.9	68.5
arCOG00459	100.0	58.9	58.9
arCOG00469	99.4	50.3	50.0
arCOG00470	100.0	97.6	97.6
arCOG00487	100.0	100.0	100.0
arCOG00488	100.0	67.3	67.3
arCOG00501	100.0	70.8	70.8
arCOG00543	99.4	86.2	85.7
arCOG00570	100.0	0.6	0.6
arCOG00579	100.0	57.1	57.1
arCOG00638	100.0	99.4	99.4
arCOG00675	100.0	99.4	99.4
arCOG00689	100.0	79.2	79.2
arCOG00767	100.0	19.0	19.0
arCOG00779	100.0	99.4	99.4
arCOG00780	100.0	99.4	99.4
arCOG00781	99.4	100.0	99.4
arCOG00807	100.0	94.0	94.0
arCOG00808	100.0	76.2	76.2
arCOG00810	100.0	98.8	98.8
arCOG00833	100.0	28.0	28.0
arCOG00858	99.4	96.4	95.8
arCOG00865	100.0	97.0	97.0
arCOG00868	99.4	97.0	96.4
arCOG00970	100.0	42.3	42.3
arCOG00971	100.0	67.9	67.9
arCOG00972	100.0	79.2	79.2
arCOG00980	99.4	96.4	95.8
arCOG00985	99.4	99.4	98.8
arCOG01000	99.4	35.3	35.1
arCOG01001	100.0	96.4	96.4
arCOG01015	100.0	99.4	99.4
arCOG01016	100.0	100.0	100.0
arCOG01037	99.4	81.4	81.0
arCOG01045	100.0	88.7	88.7
arCOG01085	100.0	82.1	82.1
arCOG01115	99.4	96.4	95.8
arCOG01122	100.0	97.0	97.0
arCOG01130	100.0	23.8	23.8
arCOG01169	100.0	94.6	94.6
arCOG01179	100.0	57.7	57.7
arCOG01180	99.4	99.4	98.8
arCOG01185	100.0	96.4	96.4
arCOG01217	99.4	100.0	99.4
arCOG01219	99.4	100.0	99.4
arCOG01227	100.0	98.8	98.8
arCOG01228	100.0	99.4	99.4
arCOG01255	100.0	69.6	69.6
arCOG01257	100.0	13.1	13.1
arCOG01278	100.0	44.0	44.0
arCOG01308	100.0	11.9	11.9
arCOG01341	100.0	94.0	94.0
arCOG01342	100.0	97.0	97.0
arCOG01344	100.0	100.0	100.0
arCOG01348	100.0	53.0	53.0
arCOG01434	100.0	24.4	24.4
arCOG01532	100.0	50.6	50.6
arCOG01543	99.4	64.7	64.3
arCOG01559	100.0	98.8	98.8
arCOG01560	100.0	100.0	100.0
arCOG01561	100.0	89.9	89.9
arCOG01563	100.0	98.8	98.8
arCOG01568	99.4	33.5	33.3
arCOG01580	100.0	21.4	21.4
arCOG01640	100.0	86.3	86.3
arCOG01695	99.4	97.0	96.4
arCOG01701	99.4	86.2	85.7
arCOG01719	99.4	100.0	99.4
arCOG01722	100.0	99.4	99.4
arCOG01726	100.0	57.7	57.7
arCOG01741	99.4	100.0	99.4
arCOG01742	100.0	89.3	89.3
arCOG01751	100.0	100.0	100.0
arCOG01758	100.0	63.7	63.7
arCOG01760	100.0	95.2	95.2
arCOG01762	100.0	38.1	38.1
arCOG01764	100.0	66.7	66.7
arCOG01767	100.0	69.6	69.6
arCOG01885	99.4	97.0	96.4
arCOG01886	100.0	94.6	94.6
arCOG01887	100.0	83.3	83.3
arCOG01904	100.0	97.6	97.6
arCOG01909	100.0	64.3	64.3
arCOG01920	100.0	99.4	99.4
arCOG01923	99.4	97.6	97.0
arCOG01924	100.0	71.4	71.4
arCOG01946	100.0	98.8	98.8
arCOG01952	100.0	97.6	97.6
arCOG01981	100.0	24.4	24.4
arCOG01988	99.4	100.0	99.4
arCOG03013	100.0	99.4	99.4
arCOG04050	99.4	96.4	95.8
arCOG04067	100.0	98.8	98.8
arCOG04070	100.0	100.0	100.0
arCOG04071	100.0	100.0	100.0
arCOG04072	100.0	100.0	100.0
arCOG04076	99.4	99.4	98.8
arCOG04086	100.0	100.0	100.0
arCOG04087	100.0	99.4	99.4
arCOG04088	100.0	100.0	100.0
arCOG04089	100.0	100.0	100.0
arCOG04090	100.0	100.0	100.0
arCOG04091	100.0	100.0	100.0
arCOG04092	100.0	99.4	99.4
arCOG04093	100.0	100.0	100.0
arCOG04094	100.0	100.0	100.0
arCOG04095	100.0	100.0	100.0
arCOG04096	100.0	100.0	100.0
arCOG04097	100.0	99.4	99.4
arCOG04098	100.0	100.0	100.0
arCOG04099	100.0	99.4	99.4
arCOG04101	99.4	94.6	94.0
arCOG04107	99.4	99.4	98.8
arCOG04109	99.4	100.0	99.4
arCOG04110	100.0	88.1	88.1
arCOG04111	99.4	100.0	99.4
arCOG04112	99.4	99.4	98.8
arCOG04113	100.0	100.0	100.0
arCOG04121	99.4	97.0	96.4
arCOG04129	100.0	100.0	100.0
arCOG04131	100.0	99.4	99.4
arCOG04137	100.0	95.2	95.2
arCOG04138	100.0	91.1	91.1
arCOG04142	99.4	80.2	79.8
arCOG04150	100.0	99.4	99.4
arCOG04154	99.4	100.0	99.4
arCOG04161	99.4	100.0	99.4
arCOG04169	99.4	96.4	95.8
arCOG04179	100.0	100.0	100.0
arCOG04184	100.0	98.8	98.8
arCOG04185	100.0	99.4	99.4
arCOG04187	99.4	100.0	99.4
arCOG04208	100.0	98.2	98.2
arCOG04209	100.0	98.8	98.8
arCOG04228	100.0	99.4	99.4
arCOG04236	99.4	85.0	84.5
arCOG04239	100.0	99.4	99.4
arCOG04240	100.0	99.4	99.4
arCOG04241	100.0	99.4	99.4
arCOG04242	100.0	99.4	99.4
arCOG04243	100.0	99.4	99.4
arCOG04245	100.0	99.4	99.4
arCOG04246	99.4	91.0	90.5
arCOG04249	99.4	98.8	98.2
arCOG04254	100.0	100.0	100.0
arCOG04255	100.0	100.0	100.0
arCOG04256	100.0	98.2	98.2
arCOG04257	100.0	98.8	98.8
arCOG04260	99.4	92.8	92.3
arCOG04277	100.0	98.2	98.2
arCOG04288	100.0	100.0	100.0
arCOG04289	100.0	100.0	100.0
arCOG04312	99.4	98.2	97.6
arCOG04372	100.0	100.0	100.0
arCOG04430	99.4	65.3	64.9
arCOG04473	99.4	99.4	98.8
