#cog	%_occurence	thereof_%_singlecopy	%_occurence_as_singlecopy
arCOG00029	99.4	98.2	97.6
arCOG00035	99.4	98.8	98.2
arCOG00063	99.4	99.4	98.8
arCOG00078	99.4	98.8	98.2
arCOG00081	98.8	100.0	98.8
arCOG00358	100.0	98.2	98.2
arCOG00403	99.4	98.8	98.2
arCOG00410	100.0	100.0	100.0
arCOG00412	100.0	99.4	99.4
arCOG00470	100.0	97.6	97.6
arCOG00487	100.0	100.0	100.0
arCOG00551	98.8	99.4	98.2
arCOG00638	100.0	99.4	99.4
arCOG00675	100.0	99.4	99.4
arCOG00779	100.0	99.4	99.4
arCOG00780	100.0	99.4	99.4
arCOG00781	99.4	100.0	99.4
arCOG00785	98.8	100.0	98.8
arCOG00810	100.0	98.8	98.8
arCOG00860	98.8	98.2	97.0
arCOG00865	100.0	97.0	97.0
arCOG00910	98.8	99.4	98.2
arCOG00911	98.8	100.0	98.8
arCOG00978	97.6	100.0	97.6
arCOG00985	99.4	99.4	98.8
arCOG00991	98.2	100.0	98.2
arCOG01015	100.0	99.4	99.4
arCOG01016	100.0	100.0	100.0
arCOG01028	97.6	99.4	97.0
arCOG01122	100.0	97.0	97.0
arCOG01180	99.4	99.4	98.8
arCOG01217	99.4	100.0	99.4
arCOG01219	99.4	100.0	99.4
arCOG01224	98.8	98.8	97.6
arCOG01227	100.0	98.8	98.8
arCOG01228	100.0	99.4	99.4
arCOG01268	98.8	99.4	98.2
arCOG01342	100.0	97.0	97.0
arCOG01344	100.0	100.0	100.0
arCOG01358	98.2	100.0	98.2
arCOG01365	98.2	99.4	97.6
arCOG01559	100.0	98.8	98.8
arCOG01560	100.0	100.0	100.0
arCOG01563	100.0	98.8	98.8
arCOG01719	99.4	100.0	99.4
arCOG01722	100.0	99.4	99.4
arCOG01741	99.4	100.0	99.4
arCOG01751	100.0	100.0	100.0
arCOG01904	100.0	97.6	97.6
arCOG01920	100.0	99.4	99.4
arCOG01923	99.4	97.6	97.0
arCOG01946	100.0	98.8	98.8
arCOG01950	98.2	99.4	97.6
arCOG01952	100.0	97.6	97.6
arCOG01988	99.4	100.0	99.4
arCOG03013	100.0	99.4	99.4
arCOG04061	98.8	100.0	98.8
arCOG04067	100.0	98.8	98.8
arCOG04070	100.0	100.0	100.0
arCOG04071	100.0	100.0	100.0
arCOG04072	100.0	100.0	100.0
arCOG04076	99.4	99.4	98.8
arCOG04086	100.0	100.0	100.0
arCOG04087	100.0	99.4	99.4
arCOG04088	100.0	100.0	100.0
arCOG04089	100.0	100.0	100.0
arCOG04090	100.0	100.0	100.0
arCOG04091	100.0	100.0	100.0
arCOG04092	100.0	99.4	99.4
arCOG04093	100.0	100.0	100.0
arCOG04094	100.0	100.0	100.0
arCOG04095	100.0	100.0	100.0
arCOG04096	100.0	100.0	100.0
arCOG04097	100.0	99.4	99.4
arCOG04098	100.0	100.0	100.0
arCOG04099	100.0	99.4	99.4
arCOG04107	99.4	99.4	98.8
arCOG04108	97.0	100.0	97.0
arCOG04109	99.4	100.0	99.4
arCOG04111	99.4	100.0	99.4
arCOG04112	99.4	99.4	98.8
arCOG04113	100.0	100.0	100.0
arCOG04129	100.0	100.0	100.0
arCOG04130	98.8	98.8	97.6
arCOG04131	100.0	99.4	99.4
arCOG04150	100.0	99.4	99.4
arCOG04154	99.4	100.0	99.4
arCOG04161	99.4	100.0	99.4
arCOG04176	98.8	99.4	98.2
arCOG04179	100.0	100.0	100.0
arCOG04182	98.8	98.8	97.6
arCOG04184	100.0	98.8	98.8
arCOG04185	100.0	99.4	99.4
arCOG04186	98.8	100.0	98.8
arCOG04187	99.4	100.0	99.4
arCOG04208	100.0	98.2	98.2
arCOG04209	100.0	98.8	98.8
arCOG04228	100.0	99.4	99.4
arCOG04229	97.0	100.0	97.0
arCOG04239	100.0	99.4	99.4
arCOG04240	100.0	99.4	99.4
arCOG04241	100.0	99.4	99.4
arCOG04242	100.0	99.4	99.4
arCOG04243	100.0	99.4	99.4
arCOG04244	98.8	99.4	98.2
arCOG04245	100.0	99.4	99.4
arCOG04249	99.4	98.8	98.2
arCOG04254	100.0	100.0	100.0
arCOG04255	100.0	100.0	100.0
arCOG04256	100.0	98.2	98.2
arCOG04257	100.0	98.8	98.8
arCOG04258	98.2	99.4	97.6
arCOG04277	100.0	98.2	98.2
arCOG04281	98.8	98.2	97.0
arCOG04288	100.0	100.0	100.0
arCOG04289	100.0	100.0	100.0
arCOG04302	98.8	98.8	97.6
arCOG04312	99.4	98.2	97.6
arCOG04314	98.8	100.0	98.8
arCOG04372	100.0	100.0	100.0
arCOG04473	99.4	99.4	98.8
taxid 633148 lacks 4 OG's
taxid 374847 lacks 6 OG's
taxid 1229909 lacks 5 OG's
taxid 1227454 lacks 4 OG's
taxid 70601 lacks 7 OG's
taxid 1448860 lacks 4 OG's
