#cog	%_occurence	thereof_%_singlecopy	%_occurence_as_singlecopy
COG0047	94.1	99.2	93.4
COG0048	99.8	99.8	99.6
COG0049	100.0	99.8	99.7
COG0051	99.4	99.8	99.2
COG0052	99.8	99.2	99.1
COG0080	100.0	99.4	99.4
COG0081	100.0	99.6	99.6
COG0087	100.0	99.8	99.7
COG0089	99.9	100.0	99.8
COG0090	100.0	99.7	99.7
COG0091	100.0	99.8	99.7
COG0092	100.0	99.8	99.8
COG0093	99.9	99.8	99.7
COG0094	100.0	99.5	99.5
COG0096	100.0	99.8	99.8
COG0097	100.0	99.8	99.7
COG0098	100.0	99.8	99.8
COG0100	99.8	99.9	99.7
COG0102	99.9	99.8	99.7
COG0130	98.7	99.1	97.8
COG0131	82.5	99.7	82.3
COG0184	99.6	99.8	99.4
COG0185	99.6	99.9	99.6
COG0186	99.8	99.8	99.6
COG0197	100.0	99.9	99.9
COG0198	99.8	99.8	99.6
COG0200	100.0	99.9	99.8
COG0203	99.8	99.3	99.1
COG0211	99.4	99.6	99.0
COG0219	75.0	99.6	74.7
COG0228	99.5	99.8	99.3
COG0230	77.5	99.9	77.4
COG0233	99.9	99.0	98.9
COG0244	99.9	99.8	99.8
COG0245	83.6	99.5	83.2
COG0255	97.8	99.9	97.7
COG0256	100.0	99.9	99.9
COG0261	99.4	99.6	99.0
COG0268	99.1	99.8	98.9
COG0291	95.9	99.8	95.7
COG0292	99.9	99.8	99.7
COG0335	99.6	99.9	99.5
COG0336	99.5	99.2	98.7
COG0353	98.1	99.5	97.7
COG0359	99.6	99.4	99.1
COG0360	99.6	99.3	99.0
COG0536	99.6	99.2	98.8
COG0541	99.8	99.1	98.9
COG0632	98.7	99.2	98.0
COG0690	92.9	99.9	92.8
COG0691	99.8	99.0	98.8
COG0721	78.8	99.4	78.3
COG0752	60.4	99.5	60.1
COG0779	93.5	99.8	93.3
COG0799	95.3	99.7	95.0
COG0802	98.2	99.1	97.3
COG0806	96.9	99.7	96.6
COG0858	98.8	99.4	98.2
COG1189	62.4	99.5	62.1
COG1214	98.9	99.4	98.4
COG1220	53.0	99.4	52.7
COG1314	96.0	99.9	95.9
COG1354	77.6	99.1	76.9
COG1381	97.1	99.4	96.6
COG1399	90.3	99.8	90.0
COG1490	76.5	99.4	76.1
COG1722	84.6	99.6	84.3
COG1739	72.5	99.3	71.9
COG1758	81.7	99.7	81.4
COG1792	78.5	99.1	77.8
COG1841	88.9	99.9	88.8
COG1947	87.3	99.3	86.6
COG2001	73.9	99.5	73.5
