#cog	%_occurence	thereof_%_singlecopy	%_occurence_as_singlecopy
COG0048	99.8	99.8	99.6
COG0049	100.0	99.8	99.7
COG0051	99.4	99.8	99.2
COG0052	99.8	99.2	99.1
COG0080	100.0	99.4	99.4
COG0081	100.0	99.6	99.6
COG0087	100.0	99.8	99.7
COG0089	99.9	100.0	99.8
COG0090	100.0	99.7	99.7
COG0091	100.0	99.8	99.7
COG0092	100.0	99.8	99.8
COG0093	99.9	99.8	99.7
COG0094	100.0	99.5	99.5
COG0096	100.0	99.8	99.8
COG0097	100.0	99.8	99.7
COG0098	100.0	99.8	99.8
COG0100	99.8	99.9	99.7
COG0102	99.9	99.8	99.7
COG0184	99.6	99.8	99.4
COG0185	99.6	99.9	99.6
COG0186	99.8	99.8	99.6
COG0197	100.0	99.9	99.9
COG0198	99.8	99.8	99.6
COG0200	100.0	99.9	99.8
COG0203	99.8	99.3	99.1
COG0211	99.4	99.6	99.0
COG0228	99.5	99.8	99.3
COG0233	99.9	99.0	98.9
COG0244	99.9	99.8	99.8
COG0256	100.0	99.9	99.9
COG0261	99.4	99.6	99.0
COG0268	99.1	99.8	98.9
COG0292	99.9	99.8	99.7
COG0335	99.6	99.9	99.5
COG0336	99.5	99.2	98.7
COG0359	99.6	99.4	99.1
COG0360	99.6	99.3	99.0
COG0536	99.6	99.2	98.8
COG0541	99.8	99.1	98.9
COG0691	99.8	99.0	98.8
