#cog	%_occurence	thereof_%_singlecopy	%_occurence_as_singlecopy
KOG0010	99.4	46.0	45.7
KOG0019	99.6	35.6	35.4
KOG0027	99.8	2.3	2.3
KOG0032	100.0	0.2	0.2
KOG0050	99.2	88.4	87.6
KOG0054	99.8	1.1	1.0
KOG0070	99.4	23.6	23.5
KOG0077	99.6	55.8	55.6
KOG0087	100.0	38.8	38.8
KOG0092	99.2	5.5	5.5
KOG0094	99.6	48.2	48.0
KOG0100	99.2	49.7	49.3
KOG0101	100.0	3.8	3.8
KOG0102	99.2	62.6	62.1
KOG0103	99.4	47.3	47.0
KOG0118	99.8	0.0	0.0
KOG0123	100.0	31.9	31.9
KOG0166	99.6	35.2	35.0
KOG0173	99.2	65.8	65.2
KOG0182	99.4	80.4	79.9
KOG0183	99.2	65.3	64.8
KOG0188	99.6	41.5	41.3
KOG0190	99.6	26.3	26.2
KOG0191	100.0	1.3	1.3
KOG0202	99.8	1.5	1.5
KOG0206	100.0	2.1	2.1
KOG0211	99.8	36.1	36.1
KOG0213	99.2	86.3	85.5
KOG0214	99.4	74.3	73.8
KOG0215	99.2	86.5	85.7
KOG0216	99.2	89.2	88.5
KOG0217	99.4	70.5	70.0
KOG0229	99.6	28.4	28.3
KOG0254	99.2	1.3	1.3
KOG0261	99.2	83.1	82.4
KOG0262	99.4	86.5	86.0
KOG0263	99.6	42.1	41.9
KOG0266	99.8	1.7	1.7
KOG0272	99.4	40.7	40.5
KOG0276	99.4	71.7	71.3
KOG0279	99.4	52.3	52.0
KOG0282	99.6	57.7	57.4
KOG0292	99.6	78.3	78.0
KOG0328	99.2	71.7	71.1
KOG0331	100.0	4.2	4.2
KOG0342	100.0	18.0	18.0
KOG0351	99.8	9.0	9.0
KOG0355	99.2	44.8	44.4
KOG0356	99.4	61.6	61.2
KOG0357	99.4	74.7	74.2
KOG0358	99.4	86.9	86.4
KOG0359	99.2	72.7	72.1
KOG0360	99.6	65.1	64.8
KOG0362	99.6	73.9	73.6
KOG0363	99.4	84.2	83.6
KOG0364	99.6	81.3	80.9
KOG0371	99.6	23.2	23.1
KOG0374	100.0	1.7	1.7
KOG0378	99.6	64.8	64.6
KOG0379	99.2	3.4	3.4
KOG0381	99.2	5.3	5.2
KOG0407	99.2	69.1	68.6
KOG0417	100.0	0.8	0.8
KOG0424	99.2	74.2	73.6
KOG0432	99.6	34.9	34.8
KOG0434	99.4	81.9	81.3
KOG0437	99.2	82.9	82.2
KOG0446	100.0	1.9	1.9
KOG0467	99.4	86.7	86.2
KOG0468	99.2	89.9	89.1
KOG0469	99.4	66.7	66.2
KOG0477	99.8	44.7	44.7
KOG0479	99.2	89.2	88.5
KOG0480	100.0	41.7	41.7
KOG0504	100.0	0.0	0.0
KOG0523	99.4	30.2	30.0
KOG0526	99.2	81.8	81.1
KOG0531	99.4	2.3	2.3
KOG0556	99.6	57.9	57.7
KOG0580	99.4	32.7	32.5
KOG0583	100.0	0.2	0.2
KOG0594	100.0	0.4	0.4
KOG0600	99.2	15.2	15.1
KOG0651	99.6	75.4	75.1
KOG0652	99.8	83.2	83.0
KOG0658	99.2	40.8	40.5
KOG0659	99.2	50.5	50.1
KOG0660	100.0	0.2	0.2
KOG0667	99.6	6.1	6.1
KOG0668	99.4	43.5	43.2
KOG0676	100.0	0.0	0.0
KOG0687	99.4	88.0	87.4
KOG0698	100.0	0.4	0.4
KOG0712	100.0	5.7	5.7
KOG0714	100.0	0.2	0.2
KOG0715	99.4	10.1	10.1
KOG0724	99.6	7.6	7.5
KOG0726	99.2	76.7	76.1
KOG0730	99.8	1.5	1.5
KOG0731	99.4	30.2	30.0
KOG0733	99.2	70.4	69.8
KOG0739	99.2	56.0	55.6
KOG0741	99.2	75.5	74.8
KOG0746	99.4	60.1	59.7
KOG0780	99.6	74.9	74.6
KOG0781	99.4	89.9	89.3
KOG0800	99.8	2.3	2.3
