#cog	%_occurence	thereof_%_singlecopy	%_occurence_as_singlecopy
COG0006	99.3	33.6	33.4
COG0008	99.9	29.3	29.2
COG0009	99.6	57.9	57.7
COG0012	99.9	98.6	98.5
COG0013	99.7	84.9	84.6
COG0016	100.0	97.5	97.5
COG0018	100.0	87.7	87.7
COG0024	99.8	56.2	56.0
COG0030	99.5	82.5	82.1
COG0048	99.8	99.8	99.6
COG0049	100.0	99.8	99.7
COG0051	99.4	99.8	99.2
COG0052	99.8	99.2	99.1
COG0060	99.7	96.5	96.2
COG0072	99.7	98.4	98.1
COG0080	100.0	99.4	99.4
COG0081	100.0	99.6	99.6
COG0084	99.8	65.2	65.0
COG0085	99.8	98.0	97.8
COG0086	99.8	91.7	91.5
COG0087	100.0	99.8	99.7
COG0088	100.0	98.6	98.6
COG0089	99.9	100.0	99.8
COG0090	100.0	99.7	99.7
COG0091	100.0	99.8	99.7
COG0092	100.0	99.8	99.8
COG0093	99.9	99.8	99.7
COG0094	100.0	99.5	99.5
COG0096	100.0	99.8	99.8
COG0097	100.0	99.8	99.7
COG0098	100.0	99.8	99.8
COG0099	99.8	85.8	85.6
COG0100	99.8	99.9	99.7
COG0102	99.9	99.8	99.7
COG0103	99.9	97.9	97.8
COG0124	99.9	89.9	89.8
COG0126	99.4	97.1	96.5
COG0143	99.8	91.3	91.2
COG0149	99.3	89.7	89.1
COG0162	99.6	94.4	94.0
COG0172	100.0	89.8	89.7
COG0180	99.7	87.8	87.5
COG0184	99.6	99.8	99.4
COG0185	99.6	99.9	99.6
COG0186	99.8	99.8	99.6
COG0187	99.9	22.8	22.8
COG0188	99.9	18.6	18.6
COG0193	99.5	98.1	97.6
COG0195	99.8	98.7	98.6
COG0197	100.0	99.9	99.9
COG0198	99.8	99.8	99.6
COG0200	100.0	99.9	99.8
COG0201	99.9	96.3	96.2
COG0202	100.0	94.7	94.7
COG0203	99.8	99.3	99.1
COG0204	99.3	20.5	20.4
COG0210	99.7	22.8	22.7
COG0211	99.4	99.6	99.0
COG0215	100.0	83.7	83.7
COG0216	99.8	91.3	91.2
COG0222	99.6	95.1	94.7
COG0223	99.1	70.6	70.0
COG0228	99.5	99.8	99.3
COG0231	99.7	88.2	87.9
COG0233	99.9	99.0	98.9
COG0238	99.3	94.4	93.8
COG0242	99.5	49.4	49.2
COG0244	99.9	99.8	99.8
COG0250	99.9	79.5	79.4
COG0256	100.0	99.9	99.9
COG0261	99.4	99.6	99.0
COG0264	99.9	98.5	98.4
COG0268	99.1	99.8	98.9
COG0272	99.3	79.2	78.7
COG0275	99.6	92.2	91.8
COG0292	99.9	99.8	99.7
COG0305	99.6	75.7	75.4
COG0319	99.5	97.5	97.1
COG0335	99.6	99.9	99.5
COG0336	99.5	99.2	98.7
COG0358	99.6	66.4	66.1
COG0359	99.6	99.4	99.1
COG0360	99.6	99.3	99.0
COG0361	99.1	94.3	93.4
COG0441	99.8	77.6	77.4
COG0443	99.8	45.4	45.4
COG0462	99.2	72.4	71.8
COG0465	99.4	65.6	65.2
COG0468	99.4	91.9	91.4
COG0480	100.0	46.9	46.9
COG0481	99.8	96.2	96.0
COG0484	99.9	27.9	27.9
COG0492	99.0	34.6	34.3
COG0495	99.9	95.3	95.3
COG0522	100.0	95.9	95.9
COG0525	99.9	97.1	97.0
COG0528	99.5	97.4	96.9
COG0533	99.9	94.7	94.6
COG0536	99.6	99.2	98.8
COG0537	99.2	41.0	40.7
COG0541	99.8	99.1	98.9
COG0542	99.0	7.6	7.5
COG0544	99.2	93.7	92.9
COG0550	99.5	56.8	56.5
COG0552	99.8	96.8	96.6
COG0563	99.9	68.7	68.6
COG0564	99.9	9.5	9.5
COG0566	99.4	14.1	14.0
COG0568	99.9	34.2	34.1
COG0576	99.6	91.1	90.8
COG0587	99.7	56.1	56.0
COG0592	99.8	88.0	87.8
COG0629	99.7	42.0	41.8
COG0653	99.8	83.2	83.0
COG0691	99.8	99.0	98.8
COG0706	99.6	79.1	78.8
COG0781	99.6	42.9	42.7
COG1109	99.3	8.3	8.2
COG1132	99.1	4.6	4.5
COG1136	99.2	10.0	9.9
COG1160	99.4	93.7	93.1
COG2812	99.1	83.8	83.0
COG2890	99.3	45.6	45.3
